Entity,Year,gini,reporting_gdp
Hungary,2011,0.291583423,11556.67264
Hungary,2012,0.308041866,11470.40343
Hungary,2013,0.315041022,11709.80143
Hungary,2014,0.309176611,12237.31167
Hungary,2015,0.304082302,12720.71202
Hungary,2016,0.303276185,13037.96469
Hungary,2017,0.305841235,13630.68824
Hungary,2018,0.296120444,14379.4442
Hungary,2019,0.299504728,15041.09858
Iceland,2003,0.26836037,43763.77561
Iceland,2004,0.279821402,46766.01687
Iceland,2005,0.290024469,48850.76586
Iceland,2006,0.302451505,50731.69069
Iceland,2007,0.294709597,53646.36902
Iceland,2008,0.317892785,53821.47082
Iceland,2009,0.2865641,49527.39883
Iceland,2010,0.261716196,48193.7014
Iceland,2011,0.268307995,48933.54566
Iceland,2012,0.267694247,49191.57442
Iceland,2013,0.254029149,50946.81626
Iceland,2014,0.278004157,51233.24405
Iceland,2015,0.267879714,52951.68151
Iceland,2016,0.272411053,55513.6423
Iceland,2017,0.261315802,56501.45768
India,1977,0.333366472,383.9378068
India,1983,0.321009937,420.573546
India,1987,0.325741643,461.0988529
India,1993,0.316961836,556.4713217
India,2004,0.344063046,884.5398856
India,2009,0.353803358,1145.143244
India,2011,0.357125753,1280.707408
India,2015,0.347064363,1580.05946
India,2016,0.347732336,1690.889918
India,2017,0.359430473,1792.377676
India,2018,0.345896863,1890.759172
India,2019,0.357338571,1958.427183
India - rural,1977,0.341956561,383.9378068
India - rural,1983,0.300593398,420.573546
India - rural,1987,0.301336893,461.0988529
India - rural,1993,0.285865678,556.4713217
India - rural,2004,0.304535764,884.5398856
India - rural,2009,0.299503037,1145.143244
India - rural,2011,0.311275224,1280.707408
India - rural,2015,0.312638052,1580.05946
India - rural,2016,0.310115298,1690.889918
India - rural,2017,0.312733027,1792.377676
India - rural,2018,0.310533577,1890.759172
India - rural,2019,0.308629546,1958.427183
India - urban,1977,0.357415496,383.9378068
India - urban,1983,0.333268747,420.573546
India - urban,1987,0.35569307,461.0988529
India - urban,1993,0.343852311,556.4713217
India - urban,2004,0.376351735,884.5398856
India - urban,2009,0.393479737,1145.143244
India - urban,2011,0.39014429,1280.707408
India - urban,2015,0.378798629,1580.05946
India - urban,2016,0.38292568,1690.889918
India - urban,2017,0.395788816,1792.377676
India - urban,2018,0.362158274,1890.759172
India - urban,2019,0.393655915,1958.427183
Indonesia,1984,0.334559806,1204.336709
Indonesia,1987,0.314037701,1289.572732
Indonesia,1990,0.322712574,1487.84551
Indonesia,1993,0.331627988,1714.877579
Indonesia,1996,0.356251368,2054.385835
Indonesia,1998,0.321814319,1815.698066
Indonesia,1999,0.32078047,1804.705162
Indonesia,2000,0.29458434,1867.548796
Indonesia,2001,0.300239283,1909.291868
Indonesia,2002,0.328337979,1968.301128
Indonesia,2003,0.330267025,2034.761462
Indonesia,2004,0.338532798,2108.641795
Indonesia,2005,0.340578444,2199.093914
Indonesia,2006,0.353005561,2289.422012
Indonesia,2007,0.366646878,2402.667542
Indonesia,2008,0.360602546,2513.671592
Indonesia,2009,0.359931722,2595.298759
Indonesia,2010,0.372053374,2720.191622
Indonesia,2011,0.404581494,2849.354985
